"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene9093",-0.672399672399663,5.50467289719626,-5.58690841502037,6.81524771050018e-08,1.2061986205275e-05,7.84063300027581
"gene7196",-0.587223587223624,8.27570093457944,-5.57347522097692,7.29197449755106e-08,1.27186830547865e-05,7.77700590364594
"gene4691",-1.4621212121212,5.70093457943925,-5.56269633702239,7.69787769921977e-08,1.32348511585871e-05,7.72603342111101
"gene3884",-0.60257985257979,9.2196261682243,-5.54454570341401,8.43168943379978e-08,1.42923073712367e-05,7.64036651626224
"gene8093",-0.621212121212137,6.69158878504673,-5.53346025970133,8.91294758344474e-08,1.48982394676052e-05,7.58814838346971
"gene11281",-0.567158067158073,4.72897196261682,-5.51872857468746,9.59412002323477e-08,1.56354361777042e-05,7.51887533452011
"gene11158",-0.673628173628134,6.14018691588785,-5.51731288034281,9.66219069556524e-08,1.56354361777042e-05,7.5122255593268
"gene4909",-0.814496314496342,8.34579439252336,-5.51562984631775,9.74372840322238e-08,1.56354361777042e-05,7.50432170042549
"gene4789",-0.850532350532268,8.15420560747664,-5.50380052817326,1.03360450228735e-07,1.61551041364003e-05,7.44881980048724
"gene8108",-0.790950040949948,7.33177570093458,-5.4997089670368,1.05489719270309e-07,1.62765227104893e-05,7.42964339615182
"gene5459",-1.14291564291556,7.90654205607477,-5.49703772947278,1.06902842541075e-07,1.62857684807827e-05,7.41712955446549
"gene3434",-1.31654381654379,6.39252336448598,-5.4875711408666,1.12060871012982e-07,1.68581572830155e-05,7.37281849060928
"gene11799",-0.507166257166249,5.02803738317757,-5.46498740866518,1.25364680018303e-07,1.86267151113615e-05,7.26734044411171
"gene10054",-0.703931203931221,7.64953271028037,-5.46239811283784,1.26984939417407e-07,1.86373627547377e-05,7.25526794229534
"gene3260",-1.42854217854218,6.16355140186916,-5.415994127694,1.59729440537918e-07,2.2748091123429e-05,7.03964217426352
"gene6491",-0.600327600327573,6.88785046728972,-5.41596874789766,1.59749423234666e-07,2.2748091123429e-05,7.03952462168831
"gene7118",-0.703726453726381,7.21028037383178,-5.41481081664457,1.60663709637845e-07,2.2748091123429e-05,7.03416182996993
"gene10677",-1.13615888615889,5.41121495327103,-5.41233809177091,1.6263322610481e-07,2.27591962345511e-05,7.0227126631049
"gene10293",-0.80159705159696,6.67289719626168,-5.40795695716996,1.66180652373696e-07,2.29883235783613e-05,7.00243692173589
"gene10073",-0.524570024569996,6.86448598130841,-5.39516126041233,1.76978118786063e-07,2.36659073287808e-05,6.94329001981555
"gene9456",-0.520679770679709,6.01869158878505,-5.38250786961012,1.88325709136312e-07,2.49065924115991e-05,6.88490530665843
"gene10273",-0.596642096642083,6.48130841121495,-5.37576803505845,1.94655896304245e-07,2.5463953391539e-05,6.85384910324661
"gene7667",-0.567567567567592,7.10747663551402,-5.36689221627032,2.0330890182446e-07,2.62925810813827e-05,6.81299565532417
"gene11927",-0.731572481572435,5.94859813084112,-5.3646563397215,2.05546992958243e-07,2.62925810813827e-05,6.80271249148864
"gene7094",-0.568386568386474,7.86448598130841,-5.36268095867802,2.07544262794462e-07,2.62925810813827e-05,6.79363009847859
"gene3457",0.644348894348952,7.17289719626168,5.33924475720785,2.32729649313671e-07,2.88752714380416e-05,6.68606951497287
"gene2129",-0.527231777231821,9.57476635514019,-5.33566076302562,2.36834381921131e-07,2.90847121063349e-05,6.6696523792896
"gene8632",-1.70106470106473,7.80841121495327,-5.33038307692177,2.43007367741622e-07,2.95413502098023e-05,6.64549227899792
"gene6211",0.78624078624074,8.27102803738318,5.32509769462623,2.49346083971708e-07,2.99012581440689e-05,6.62131522239085
"gene11863",0.500614250614219,5.02803738317757,5.32377554546932,2.5095670114919e-07,2.99012581440689e-05,6.61527014373273
"gene465",-0.659500409500431,9.33177570093458,-5.32176805658189,2.53421548042794e-07,2.99012581440689e-05,6.60609377177442
"gene6259",-0.630425880425943,6.95794392523364,-5.31908880408291,2.5674791287548e-07,2.99996226354991e-05,6.59385083716204
"gene6545",-0.739148239148122,7.70093457943925,-5.30847547641699,2.70346872813232e-07,3.09869010886404e-05,6.54539915429938
"gene9656",-0.565110565110635,6.83644859813084,-5.27632664652376,3.15952802358075e-07,3.58725658149003e-05,6.39908611435092
"gene5757",-0.822481572481468,7.97663551401869,-5.2662363494087,3.31749627864155e-07,3.71460798000609e-05,6.35330448469784
"gene6555",-0.576576576576448,7.93457943925234,-5.26520658271088,3.33404290170662e-07,3.71460798000609e-05,6.34863601632607
"gene3946",-0.531531531531449,9.29906542056075,-5.26333696717872,3.36428973677328e-07,3.71460798000609e-05,6.34016186771296
"gene8197",0.518427518427528,6.31308411214953,5.24280999717976,3.71441804147877e-07,4.06391101174519e-05,6.24727422156129
"gene3433",-1.0687960687961,5.89719626168224,-5.23149137409741,3.92236702916237e-07,4.2147934996401e-05,6.19617520368146
"gene3435",-1.0687960687961,5.89719626168224,-5.23149137409741,3.92236702916237e-07,4.2147934996401e-05,6.19617520368146
"gene2180",-0.614455364455431,9.19626168224299,-5.22080842245182,4.12898635741685e-07,4.39755316916034e-05,6.14802404790697
"gene10571",-0.667895167895153,6.8411214953271,-5.21201775152523,4.30690205648475e-07,4.50726663041687e-05,6.10845888838462
"gene10871",-0.698198198198186,6.35046728971963,-5.16934450254,5.28189288905282e-07,5.43312657433767e-05,5.91712727199447
"gene1719",-0.508599508599513,9.60280373831776,-5.15196532520444,5.73763314397001e-07,5.85189956675246e-05,5.83955458276334
"gene11362",-0.770475020475003,6.40654205607477,-5.14260949842624,5.99854829091617e-07,6.06659904883833e-05,5.79787845913994
"gene4690",-1.21212121212119,5.87383177570093,-5.13032179768311,6.35877416023385e-07,6.29704167333944e-05,5.74323159981882
"gene10549",-0.536855036855044,5.2196261682243,-5.12950748656767,6.38337419316504e-07,6.29704167333944e-05,5.73961372301824
"gene10092",-0.675266175266186,5.65420560747664,-5.12557146779322,6.50358767735308e-07,6.36346973145888e-05,5.72213281401669
"gene5615",-0.748976248976194,7.28504672897196,-5.07337214817151,8.32118490128951e-07,7.88546931393852e-05,5.49129216698912
"gene10345",-0.510647010647041,5.49532710280374,-5.06574994719998,8.62477437901679e-07,8.07276803355989e-05,5.45773915594744
"gene8806",-0.549344799344828,5.51401869158879,-5.06372802918971,8.70709197981985e-07,8.07276803355989e-05,5.44884528131535
"gene8191",-0.756961506961472,5.41588785046729,-5.06033348385815,8.84700872304414e-07,8.07276803355989e-05,5.43391984313928
"gene2937",-0.633087633087645,6.66822429906542,-5.05049971513442,9.26475299634457e-07,8.32099270977663e-05,5.39072614635232
"gene10193",-0.621212121212071,5.19158878504673,-5.04675538440045,9.42878857635865e-07,8.40559040862788e-05,5.3742969285348
"gene2786",-0.587428337428303,8.71495327102804,-5.03979831537123,9.74107713504726e-07,8.62013700884513e-05,5.34379638497755
"gene531",-0.531736281736181,6.73831775700935,-5.01430007655198,1.09736367375e-06,9.63997942597173e-05,5.23229208035493
"gene10129",-0.724815724815699,5.95327102803738,-5.00772947476758,1.13149690191496e-06,9.86780088010615e-05,5.20363082912013
"gene6526",-0.539721539721467,7.86915887850467,-4.98866183805897,1.23647582412426e-06,0.000106731489040497,5.12062468902064
"gene11690",-0.6013513513513,6.58411214953271,-4.98589847385538,1.25245175027894e-06,0.000106731489040497,5.10861580567012
"gene3448",-0.50962325962325,8.79906542056075,-4.98472158386022,1.25931628115917e-06,0.000106731489040497,5.103502933575
